chip_stem,region,sza_bin,ic_frac
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9728_c1024,KQ,sza_lt65,0.6894683837890625
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9728_c1280,KQ,sza_lt65,0.901763916015625
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9728_c1536,KQ,sza_lt65,0.99932861328125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9728_c1792,KQ,sza_lt65,0.9931488037109375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9728_c2048,KQ,sza_lt65,0.999053955078125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9728_c2304,KQ,sza_lt65,0.5990753173828125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9984_c1280,KQ,sza_lt65,0.7634124755859375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9984_c1536,KQ,sza_lt65,0.999237060546875
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9984_c1792,KQ,sza_lt65,0.9197540283203125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9984_c2048,KQ,sza_lt65,0.4629364013671875
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9984_c2304,KQ,sza_lt65,0.2369232177734375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9984_c3072,KQ,sza_lt65,0.32647705078125
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10240_c1536,KQ,sza_lt65,0.2489013671875
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10240_c1792,KQ,sza_lt65,0.1524505615234375
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10240_c2048,KQ,sza_lt65,0.0654296875
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10240_c2304,KQ,sza_lt65,0.04632568359375
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10240_c2560,KQ,sza_lt65,0.459228515625
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10240_c2816,KQ,sza_lt65,0.6108856201171875
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10240_c3072,KQ,sza_lt65,0.1214599609375
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10496_c1792,KQ,sza_lt65,0.292816162109375
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10496_c2048,KQ,sza_lt65,0.129150390625
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10496_c2304,KQ,sza_lt65,0.0957489013671875
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10496_c2560,KQ,sza_lt65,0.755340576171875
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10496_c2816,KQ,sza_lt65,0.5596923828125
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r10496_c3072,KQ,sza_lt65,0.0956268310546875
