chip_stem,region,sza_bin,ic_frac,n_polys_prod,n_polys_le_1px,n_polys_le_2px,n_polys_prod_kept,area_m2_prod_kept,n_polys_open,n_polys_open_kept,area_m2_open_kept
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c2048,KQ,sza_lt65,0.0002593994140625,3,1,1,3,1700.0,1,1,1200.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c2304,KQ,sza_lt65,1.52587890625e-05,1,1,1,1,100.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c2560,KQ,sza_lt65,3.0517578125e-05,2,2,2,2,200.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c2816,KQ,sza_lt65,0.03399658203125,244,72,110,244,222800.0,88,88,142000.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c3072,KQ,sza_lt65,0.0318450927734375,313,83,122,313,208700.0,104,104,121200.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c3328,KQ,sza_lt65,0.05657958984375,243,57,98,243,370800.0,92,92,304300.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c3584,KQ,sza_lt65,0.0209197998046875,145,30,52,145,137100.0,50,50,97100.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c3840,KQ,sza_lt65,0.0071563720703125,21,5,9,21,46900.0,11,11,41000.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c4096,KQ,sza_lt65,0.00048828125,2,0,0,2,3200.0,2,2,3000.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c4352,KQ,sza_lt65,0.0103302001953125,4,0,1,4,67700.0,2,2,66600.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c4608,KQ,sza_lt65,0.0091552734375,1,0,0,1,60000.0,1,1,59900.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c4864,KQ,sza_lt65,0.000244140625,7,2,5,7,1600.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c5120,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c5376,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c5632,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c5888,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c6144,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c6400,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c6656,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c6912,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c7168,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c7424,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c7680,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c7936,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c8192,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c8448,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c8704,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c8960,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c9216,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c9472,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c9728,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c9984,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0512_c0000,KQ,sza_lt65,0.026031494140625,54,7,8,54,170600.0,39,39,158100.0
