chip_stem,region,sza_bin,range_p,would_skip_at_0p005,would_skip_at_0p01,would_skip_at_0p02,would_skip_at_0p05
S2B_MSIL1C_20181102T141339_N0500_R053_T24WWT_20230617T110018_r6912_c8704,KQ,sza_gt75,0.15789656341075897,0,0,0,0
S2B_MSIL1C_20181102T141339_N0500_R053_T24WXT_20230617T110018_r5120_c0768,KQ,sza_gt75,0.6964273452758789,0,0,0,0
S2B_MSIL1C_20191001T142009_N0500_R096_T24WWU_20230612T151249_r7936_c4864,SK,sza_gt75,0.9993311762809753,0,0,0,0
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r3328_c4096,KQ,sza_gt75,0.999234676361084,0,0,0,0
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r5120_c4096,KQ,sza_gt75,0.9992642998695374,0,0,0,0
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r8448_c2048,KQ,sza_gt75,0.9945324659347534,0,0,0,0
S2B_MSIL1C_20201009T140009_N0500_R010_T25WEQ_20230305T173153_r0512_c7168,KQ,sza_70_75,0.1545840948820114,0,0,0,0
S2B_MSIL1C_20201009T140009_N0500_R010_T25WEQ_20230305T173153_r0768_c1280,KQ,sza_70_75,0.14535368978977203,0,0,0,0
S2B_MSIL1C_20201009T140009_N0500_R010_T25WES_20230305T173153_r9472_c2048,KQ,sza_70_75,0.9996517896652222,0,0,0,0
S2B_MSIL1C_20201104T142359_N0500_R096_T24WWU_20230318T134630_r8704_c4096,SK,sza_gt75,0.9994560480117798,0,0,0,0
S2B_MSIL1C_20201104T142359_N0500_R096_T24WWU_20230318T134630_r8960_c3072,SK,sza_gt75,0.9973468780517578,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WDR_20230112T231721_r9472_c10240,KQ,sza_70_75,0.9675232172012329,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WEQ_20230112T231721_r0512_c6144,KQ,sza_70_75,0.15190643072128296,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r10240_c6400,KQ,sza_70_75,0.15243902802467346,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3328_c2816,KQ,sza_70_75,0.1661633402109146,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3328_c3072,KQ,sza_70_75,0.9208613038063049,0,0,0,0
