global_index,tif_path,tif_exists,satellite,date,hour_utc,tile,region,ic_frac,ic_note
180,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617_pB5_10_17_.tif,True,S2A,2016-07-25,14,T22WES,SK,0.0,otsu_failed
181,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160923T145932_N0500_R125_T22WES_20231006T022513_pB5_10_6_.tif,True,S2A,2016-09-23,14,T22WES,SK,0.0,otsu_failed
182,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20170809T141009_N0500_R053_T24WWU_20230804T231749_pB5_7_26_.tif,True,S2B,2017-08-09,14,T24WWU,SK,0.0,otsu_failed
183,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20210817T152911_N0500_R111_T22WDB_20230117T070154_pB5_12_36_.tif,True,S2A,2021-08-17,15,T22WDB,SK,0.174,ok
184,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20210729T145921_N0500_R125_T22WES_20230122T163521_pB5_11_15_.tif,True,S2A,2021-07-29,14,T22WES,SK,0.6178,ok
185,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20190709T152911_N0500_R111_T22WDB_20230603T230701_pB5_11_37_.tif,True,S2A,2019-07-09,15,T22WDB,SK,0.0,otsu_failed
186,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20190709T152911_N0500_R111_T22WDB_20230603T230701_pB5_11_36_.tif,True,S2A,2019-07-09,15,T22WDB,SK,0.3367,ok
187,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617_pB5_21_19_.tif,True,S2A,2016-07-25,14,T22WES,SK,0.2398,ok
188,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20210729T145921_N0500_R125_T22WES_20230122T163521_pB5_11_16_.tif,True,S2A,2021-07-29,14,T22WES,SK,0.0,otsu_failed
189,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160823T135032_N0500_R110_T25WER_20230929T041536_pB5_33_6_.tif,True,S2A,2016-08-23,13,T25WER,KQ,0.0626,ok
190,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20210917T145921_N0500_R125_T22WES_20230113T075502_pB5_23_22_.tif,True,S2A,2021-09-17,14,T22WES,SK,0.0,otsu_failed
191,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160923T145932_N0500_R125_T22WES_20231006T022513_pB5_12_15_.tif,True,S2A,2016-09-23,14,T22WES,SK,0.0,otsu_failed
192,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160721T151912_N0500_R068_T22WDB_20231007T084315_pB5_12_36_.tif,True,S2A,2016-07-21,15,T22WDB,SK,0.1775,ok
193,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20180824T140729_N0500_R053_T25WER_20230813T110012_pB5_31_10_.tif,True,S2B,2018-08-24,14,T25WER,KQ,0.0076,ok
194,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20180715T140739_N0500_R053_T24WWU_20230712T120037_pB5_7_26_.tif,True,S2B,2018-07-15,14,T24WWU,SK,0.0,otsu_failed
195,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20170710T145911_N0500_R125_T22WES_20230901T062816_pB5_24_24_.tif,True,S2A,2017-07-10,14,T22WES,SK,0.0,otsu_failed
196,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20180723T141951_N0500_R096_T24WWU_20230628T041823_pB5_9_26_.tif,True,S2A,2018-07-23,14,T24WWU,SK,0.1743,ok
197,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20180824T140729_N0500_R053_T25WER_20230813T110012_pB5_17_18_.tif,True,S2B,2018-08-24,14,T25WER,KQ,0.0576,ok
198,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20180723T141951_N0500_R096_T24WWU_20230628T041823_pB5_6_32_.tif,True,S2A,2018-07-23,14,T24WWU,SK,0.0,otsu_failed
199,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160802T141952_N0500_R096_T24WWU_20231001T172901_pB5_8_24_.tif,True,S2A,2016-08-02,14,T24WWU,SK,0.0,otsu_failed
200,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617_pB5_11_15_.tif,True,S2A,2016-07-25,14,T22WES,SK,0.2206,ok
201,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20220912T140739_N0400_R053_T24WWT_20220912T173328_pB4_9_8_.tif,True,S2B,2022-09-12,14,T24WWT,SK,0.0,otsu_failed
202,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20180723T141951_N0500_R096_T24WWU_20230628T041823_pB5_25_12_.tif,True,S2A,2018-07-23,14,T24WWU,SK,0.0,otsu_failed
203,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20190903T141011_N0500_R053_T24WWU_20230501T094031_pB5_7_27_.tif,True,S2A,2019-09-03,14,T24WWU,SK,0.0,otsu_failed
