region,sza_bin,chip_stem,ndwi_threshold,band_skipped,cloud_skipped,cloud_fraction,ic_skipped,ic_frac,water_px,iceberg_px,n_polygons,total_area_m2
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c3072,0.05,False,False,0.0,False,0.10308837890625,58506,1846,113,184600.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c3072,0.1,False,False,0.0,False,0.10308837890625,55451,997,120,99700.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c1792,-0.05,False,False,0.0952,True,0.800811767578125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c1792,0.0,False,False,0.0952,True,0.800811767578125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c1792,0.05,False,False,0.0952,True,0.800811767578125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c1792,0.1,False,False,0.0952,True,0.800811767578125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c2048,-0.05,False,False,0.0022,True,0.57757568359375,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c2048,0.0,False,False,0.0022,True,0.57757568359375,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c2048,0.05,False,False,0.0022,True,0.57757568359375,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c2048,0.1,False,False,0.0022,True,0.57757568359375,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0256,-0.05,False,True,0.9567,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0256,0.0,False,True,0.9567,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0256,0.05,False,True,0.9567,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0256,0.1,False,True,0.9567,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0512,-0.05,False,True,0.9551,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0512,0.0,False,True,0.9551,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0512,0.05,False,True,0.9551,False,,0,0,0,0.0
